hora_utc,estacion,mm
2026-09-22 15:00,curinanco,0.0
2026-09-22 15:00,islateja,0.0
2026-09-22 15:00,las_lomas,0.0
2026-09-22 15:00,llancahue,0.0
2026-09-22 15:00,pichoy,0.0
2026-09-22 16:00,austral,0.1
2026-09-22 16:00,chaihuin,0.0
2026-09-22 16:00,corral,0.0
2026-09-22 16:00,corral_essal,5.4
2026-09-22 16:00,curinanco,0.0
2026-09-22 16:00,islateja,0.0
2026-09-22 16:00,las_lomas,0.0
2026-09-22 16:00,llancahue,0.0
2026-09-22 16:00,pichoy,0.0
2026-09-22 17:00,austral,0.0
2026-09-22 17:00,chaihuin,0.4
2026-09-22 17:00,corral,0.4
2026-09-22 17:00,corral_essal,5.0
2026-09-22 17:00,curinanco,1.4
2026-09-22 17:00,islateja,0.3
2026-09-22 17:00,las_lomas,0.0
2026-09-22 17:00,llancahue,0.0
2026-09-22 17:00,pichoy,0.0
2026-09-22 18:00,austral,4.3
2026-09-22 18:00,chaihuin,4.1
2026-09-22 18:00,corral,5.1
2026-09-22 18:00,corral_essal,4.5
2026-09-22 18:00,curinanco,4.2
2026-09-22 18:00,islateja,4.7
2026-09-22 18:00,las_lomas,2.8
2026-09-22 18:00,llancahue,3.6
2026-09-22 18:00,pichoy,3.0
2026-09-22 19:00,austral,2.0
2026-09-22 19:00,chaihuin,4.2
2026-09-22 19:00,corral,3.9
2026-09-22 19:00,corral_essal,5.6
2026-09-22 19:00,curinanco,2.7
2026-09-22 19:00,islateja,2.1
2026-09-22 19:00,las_lomas,2.6
2026-09-22 19:00,llancahue,1.9
2026-09-22 19:00,pichoy,2.4
2026-09-22 20:00,austral,1.4
2026-09-22 20:00,chaihuin,4.0
2026-09-22 20:00,corral,5.5
2026-09-22 20:00,corral_essal,1.9
2026-09-22 20:00,curinanco,1.2
2026-09-22 20:00,islateja,1.3
2026-09-22 20:00,las_lomas,1.6
2026-09-22 20:00,llancahue,0.9
2026-09-22 20:00,pichoy,0.8
2026-09-22 21:00,austral,3.5
2026-09-22 21:00,chaihuin,5.1
2026-09-22 21:00,corral,5.7
2026-09-22 21:00,corral_essal,3.6
